# Zeit (s)	# Kanal 1 (V)	# Kanal 2 (V)	# Kanal 3 (V)	# Kanal 4 (V)	
-0.05	-0.55	-0.0625	1.625	0.140625
-0.0499	-0.45625	-0.375	6.3125	0.15625
-0.0498	-0.45625	-0.375	6.46875	0.140625
-0.0497	-0.4875	-0.53125	6.3125	0.140625
-0.0496	-0.45625	-0.53125	6.3125	0.15625
-0.0495	-0.4875	-0.375	6.15625	0.15625
-0.0494	-0.45625	-0.6875	6.3125	0.140625
-0.0493	-0.4875	-0.375	6.3125	0.125
-0.0492	-0.45625	-0.375	6.15625	0.140625
-0.0491	-0.4875	-0.53125	6.3125	0.140625
-0.049	-0.51875	-0.53125	6.3125	0.125
-0.0489	-0.4875	-0.375	6.46875	0.140625
-0.0488	-0.425	-0.375	6.15625	0.125
-0.0487	-0.4875	-0.375	6.3125	0.140625
-0.0486	-0.4875	-0.53125	6.3125	0.140625
-0.0485	-0.51875	-0.53125	6.3125	0.140625
-0.0484	-0.4875	-0.53125	6.3125	0.140625
-0.0483	-0.4875	-0.375	6.3125	0.125
-0.0482	-0.4875	-0.53125	6.3125	0.140625
-0.0481	-0.51875	-0.375	6.3125	0.125
-0.048	-0.4875	-0.53125	6.3125	0.140625
-0.0479	-0.4875	-0.53125	6.3125	0.15625
-0.0478	-0.4875	-0.375	6.3125	0.140625
-0.0477	-0.4875	-0.53125	6.3125	0.125
-0.0476	-0.51875	-0.53125	6.3125	0.140625
-0.0475	-0.55	-0.375	6.3125	0.140625
-0.0474	-0.4875	-0.53125	6.15625	0.140625
-0.0473	-0.51875	-0.375	6.3125	0.109375
-0.0472	-0.51875	-0.53125	6.3125	0.125
-0.0471	-0.4875	-0.6875	6.3125	0.109375
-0.047	-0.4875	-0.53125	6.15625	0.125
-0.0469	-0.4875	-0.375	6.46875	0.125
-0.0468	-0.51875	-0.53125	6.3125	0.109375
-0.0467	-0.55	-0.375	6.15625	0.109375
-0.0466	-0.51875	-0.53125	6.3125	0.125
-0.0465	-0.51875	-0.375	6.3125	0.125
-0.0464	-0.51875	-0.53125	6.3125	0.125
-0.0463	-0.55	-0.53125	6.15625	0.109375
-0.0462	-0.51875	-0.53125	6.3125	0.125
-0.0461	-0.51875	-0.53125	6.46875	0.109375
-0.046	-0.51875	-0.6875	6.15625	0.125
-0.0459	-0.51875	-0.53125	6.3125	0.109375
-0.0458	-0.4875	-0.375	6.3125	0.125
-0.0457	-0.4875	-0.53125	6.3125	0.109375
-0.0456	-0.51875	-0.375	6.15625	0.125
-0.0455	-0.51875	-0.375	6.3125	0.125
-0.0454	-0.4875	-0.53125	6.3125	0.109375
-0.0453	-0.51875	-0.375	6.3125	0.109375
-0.0452	-0.51875	-0.375	6.46875	0.0937499
-0.0451	-0.55	-0.53125	6.3125	0.125
-0.045	-0.58125	0.5625	-0.406251	0.140625
-0.0449	-0.76875	0.71875	-5.5625	0.125
-0.0448	-0.76875	0.71875	-5.71875	0.109375
-0.0447	-0.76875	0.71875	-5.40625	0.109375
-0.0446	-0.8	0.5625	-5.5625	0.109375
-0.0445	-0.76875	0.71875	-5.5625	0.109375
-0.0444	-0.76875	0.71875	-5.5625	0.109375
-0.0443	-0.76875	0.71875	-5.5625	0.125
-0.0442	-0.76875	0.875	-5.71875	0.125
-0.0441	-0.7375	0.5625	-5.71875	0.109375
-0.044	-0.7375	0.71875	-5.71875	0.125
-0.0439	-0.7375	0.71875	-5.40625	0.109375
-0.0438	-0.76875	0.71875	-5.5625	0.109375
-0.0437	-0.7375	0.71875	-5.71875	0.125
-0.0436	-0.7375	0.71875	-5.71875	0.125
-0.0435	-0.76875	0.5625	-5.5625	0.140625
-0.0434	-0.7375	0.71875	-5.71875	0.140625
-0.0433	-0.7375	0.5625	-5.5625	0.125
-0.0432	-0.7375	0.71875	-5.5625	0.140625
-0.0431	-0.7375	0.71875	-5.71875	0.109375
-0.043	-0.7375	0.71875	-5.71875	0.125
-0.0429	-0.76875	0.875	-5.71875	0.125
-0.0428	-0.7375	0.71875	-5.5625	0.125
-0.0427	-0.76875	0.71875	-5.71875	0.125
-0.0426	-0.76875	0.71875	-5.5625	0.125
-0.0425	-0.7375	0.71875	-5.5625	0.140625
-0.0424	-0.7375	0.71875	-5.5625	0.125
-0.0423	-0.7375	0.5625	-5.71875	0.109375
-0.0422	-0.7375	0.71875	-5.71875	0.125
-0.0421	-0.7375	0.71875	-5.5625	0.125
-0.042	-0.7375	0.71875	-5.5625	0.125
-0.0419	-0.7375	0.5625	-5.71875	0.140625
-0.0418	-0.7375	0.71875	-5.5625	0.140625
-0.0417	-0.7375	0.71875	-5.71875	0.125
-0.0416	-0.70625	0.71875	-5.71875	0.140625
-0.0415	-0.7375	0.875	-5.71875	0.15625
-0.0414	-0.70625	0.71875	-5.5625	0.140625
-0.0413	-0.70625	0.71875	-5.5625	0.125
-0.0412	-0.7375	0.875	-5.71875	0.140625
-0.0411	-0.70625	0.5625	-5.71875	0.15625
-0.041	-0.7375	0.5625	-5.5625	0.140625
-0.0409	-0.70625	0.875	-5.5625	0.15625
-0.0408	-0.7375	0.71875	-5.5625	0.125
-0.0407	-0.7375	0.71875	-5.71875	0.140625
-0.0406	-0.70625	0.5625	-5.5625	0.140625
-0.0405	-0.70625	0.71875	-5.71875	0.15625
-0.0404	-0.7375	0.71875	-5.71875	0.140625
-0.0403	-0.675	0.5625	-5.5625	0.15625
-0.0402	-0.70625	0.5625	-5.5625	0.140625
-0.0401	-0.7375	0.5625	-5.5625	0.15625
-0.04	-0.58125	-0.0625	1.625	0.171875
-0.0399	-0.45625	-0.53125	6.3125	0.15625
-0.0398	-0.45625	-0.375	6.3125	0.140625
-0.0397	-0.45625	-0.53125	6.15625	0.15625
-0.0396	-0.45625	-0.53125	6.46875	0.140625
-0.0395	-0.4875	-0.53125	6.3125	0.15625
-0.0394	-0.45625	-0.375	6.15625	0.15625
-0.0393	-0.4875	-0.375	6.15625	0.140625
-0.0392	-0.45625	-0.53125	6.3125	0.140625
-0.0391	-0.4875	-0.53125	6.3125	0.15625
-0.039	-0.4875	-0.53125	6.3125	0.125
-0.0389	-0.4875	-0.375	6.3125	0.140625
-0.0388	-0.51875	-0.375	6.3125	0.140625
-0.0387	-0.4875	-0.375	6.3125	0.15625
-0.0386	-0.45625	-0.375	6.46875	0.125
-0.0385	-0.51875	-0.375	6.3125	0.125
-0.0384	-0.45625	-0.375	6.3125	0.140625
-0.0383	-0.51875	-0.53125	6.3125	0.140625
-0.0382	-0.4875	-0.53125	6.3125	0.140625
-0.0381	-0.4875	-0.53125	6.15625	0.140625
-0.038	-0.4875	-0.375	6.15625	0.140625
-0.0379	-0.4875	-0.53125	6.3125	0.125
-0.0378	-0.4875	-0.53125	6.15625	0.125
-0.0377	-0.4875	-0.375	6.3125	0.15625
-0.0376	-0.51875	-0.53125	6.3125	0.125
-0.0375	-0.4875	-0.53125	6.3125	0.125
-0.0374	-0.51875	-0.53125	6.3125	0.125
-0.0373	-0.51875	-0.375	6.3125	0.125
-0.0372	-0.51875	-0.375	6.15625	0.125
-0.0371	-0.51875	-0.375	6.3125	0.125
-0.037	-0.4875	-0.375	6.3125	0.125
-0.0369	-0.51875	-0.53125	6.3125	0.125
-0.0368	-0.4875	-0.53125	6.15625	0.109375
-0.0367	-0.51875	-0.53125	6.46875	0.125
-0.0366	-0.51875	-0.6875	6.3125	0.125
-0.0365	-0.51875	-0.53125	6.46875	0.125
-0.0364	-0.51875	-0.53125	6.15625	0.109375
-0.0363	-0.51875	-0.53125	6.3125	0.109375
-0.0362	-0.51875	-0.375	6.46875	0.125
-0.0361	-0.4875	-0.53125	6.46875	0.109375
-0.036	-0.51875	-0.6875	6.46875	0.125
-0.0359	-0.55	-0.53125	6.3125	0.109375
-0.0358	-0.51875	-0.53125	6.15625	0.109375
-0.0357	-0.55	-0.375	6.3125	0.125
-0.0356	-0.51875	-0.53125	6.15625	0.125
-0.0355	-0.4875	-0.53125	6.3125	0.125
-0.0354	-0.51875	-0.53125	6.3125	0.109375
-0.0353	-0.4875	-0.53125	6.15625	0.109375
-0.0352	-0.51875	-0.375	6.3125	0.109375
-0.0351	-0.51875	-0.375	6.3125	0.109375
-0.035	-0.6125	0.5625	-0.0937507	0.125
-0.0349	-0.7375	0.71875	-5.5625	0.0937499
-0.0348	-0.76875	0.71875	-5.5625	0.0937499
-0.0347	-0.76875	0.875	-5.71875	0.125
-0.0346	-0.76875	0.71875	-5.71875	0.0937499
-0.0345	-0.76875	0.71875	-5.40625	0.109375
-0.0344	-0.8	0.875	-5.71875	0.125
-0.0343	-0.76875	0.71875	-5.5625	0.125
-0.0342	-0.76875	0.875	-5.5625	0.125
-0.0341	-0.7375	0.71875	-5.5625	0.109375
-0.034	-0.76875	0.71875	-5.5625	0.125
-0.0339	-0.7375	0.71875	-5.71875	0.109375
-0.0338	-0.76875	0.71875	-5.71875	0.125
-0.0337	-0.76875	0.71875	-5.71875	0.109375
-0.0336	-0.8	0.71875	-5.71875	0.125
-0.0335	-0.7375	0.71875	-5.5625	0.125
-0.0334	-0.7375	0.875	-5.5625	0.140625
-0.0333	-0.7375	0.5625	-5.5625	0.140625
-0.0332	-0.76875	0.875	-5.71875	0.125
-0.0331	-0.76875	0.71875	-5.71875	0.125
-0.033	-0.76875	0.875	-5.71875	0.125
-0.0329	-0.76875	0.71875	-5.71875	0.140625
-0.0328	-0.7375	0.71875	-5.71875	0.125
-0.0327	-0.7375	0.71875	-5.5625	0.125
-0.0326	-0.76875	0.5625	-5.5625	0.125
