# Zeit (s)	# Kanal 1 (V)	# Kanal 2 (V)	# Kanal 3 (V)	# Kanal 4 (V)	
-0.1	-0.55	-0.0625	1.625	0.171875
-0.0998	-0.45625	-0.375	6.15625	0.171875
-0.0996	-0.4875	-0.375	6.3125	0.1875
-0.0994	-0.45625	-0.375	6.15625	0.171875
-0.0992	-0.4875	-0.375	6.3125	0.171875
-0.099	-0.51875	-0.53125	6.3125	0.15625
-0.0988	-0.51875	-0.6875	6.3125	0.15625
-0.0986	-0.51875	-0.53125	6.3125	0.140625
-0.0984	-0.4875	-0.53125	6.3125	0.15625
-0.0982	-0.4875	-0.53125	6.3125	0.15625
-0.098	-0.4875	-0.53125	6.3125	0.15625
-0.0978	-0.4875	-0.53125	6.3125	0.15625
-0.0976	-0.4875	-0.375	6.15625	0.15625
-0.0974	-0.4875	-0.6875	6.3125	0.15625
-0.0972	-0.55	-0.375	6.3125	0.171875
-0.097	-0.51875	-0.6875	6.15625	0.15625
-0.0968	-0.51875	-0.53125	6.15625	0.15625
-0.0966	-0.51875	-0.53125	6.3125	0.15625
-0.0964	-0.4875	-0.375	6.3125	0.15625
-0.0962	-0.51875	-0.375	6.3125	0.140625
-0.096	-0.51875	-0.53125	6.3125	0.140625
-0.0958	-0.51875	-0.375	6.15625	0.15625
-0.0956	-0.4875	-0.53125	6.3125	0.140625
-0.0954	-0.51875	-0.375	6.15625	0.15625
-0.0952	-0.4875	-0.53125	6.15625	0.140625
-0.095	-0.51875	-0.53125	6.3125	0.140625
-0.0948	-0.51875	-0.375	6.3125	0.125
-0.0946	-0.51875	-0.375	6.3125	0.15625
-0.0944	-0.4875	-0.6875	6.3125	0.125
-0.0942	-0.51875	-0.53125	6.3125	0.125
-0.094	-0.51875	-0.53125	6.3125	0.140625
-0.0938	-0.51875	-0.375	6.3125	0.140625
-0.0936	-0.4875	-0.53125	6.3125	0.125
-0.0934	-0.4875	-0.53125	6.15625	0.125
-0.0932	-0.4875	-0.53125	6.46875	0.109375
-0.093	-0.45625	-0.375	6.3125	0.125
-0.0928	-0.51875	-0.53125	6.3125	0.140625
-0.0926	-0.45625	-0.53125	6.46875	0.125
-0.0924	-0.4875	-0.53125	6.3125	0.125
-0.0922	-0.45625	-0.6875	6.3125	0.125
-0.092	-0.45625	-0.21875	6.3125	0.125
-0.0918	-0.45625	-0.375	6.3125	0.0937499
-0.0916	-0.4875	-0.375	6.3125	0.125
-0.0914	-0.45625	-0.53125	6.15625	0.109375
-0.0912	-0.4875	-0.375	6.3125	0.109375
-0.091	-0.4875	-0.53125	6.46875	0.109375
-0.0908	-0.4875	-0.53125	6.3125	0.0937499
-0.0906	-0.45625	-0.375	6.3125	0.109375
-0.0904	-0.45625	-0.53125	6.3125	0.0937499
-0.0902	-0.51875	-0.375	6.46875	0.109375
-0.09	-0.675	0.71875	-0.875001	0.0937499
-0.0898	-0.7375	0.71875	-5.40625	0.109375
-0.0896	-0.7375	0.71875	-5.5625	0.0937499
-0.0894	-0.7375	0.71875	-5.5625	0.0937499
-0.0892	-0.76875	0.875	-5.40625	0.109375
-0.089	-0.76875	0.875	-5.5625	0.109375
-0.0888	-0.76875	0.71875	-5.5625	0.125
-0.0886	-0.7375	0.71875	-5.71875	0.109375
-0.0884	-0.7375	0.71875	-5.5625	0.125
-0.0882	-0.76875	0.875	-5.71875	0.109375
-0.088	-0.76875	0.71875	-5.71875	0.109375
-0.0878	-0.76875	0.875	-5.40625	0.109375
-0.0876	-0.8	0.875	-5.40625	0.109375
-0.0874	-0.76875	0.875	-5.5625	0.140625
-0.0872	-0.8	0.875	-5.71875	0.109375
-0.087	-0.7375	0.71875	-5.5625	0.125
-0.0868	-0.8	0.71875	-5.71875	0.109375
-0.0866	-0.7375	0.71875	-5.71875	0.125
-0.0864	-0.76875	0.71875	-5.5625	0.125
-0.0862	-0.76875	0.71875	-5.71875	0.125
-0.086	-0.7375	0.71875	-5.5625	0.140625
-0.0858	-0.8	0.71875	-5.71875	0.125
-0.0856	-0.76875	0.5625	-5.71875	0.140625
-0.0854	-0.76875	0.875	-5.5625	0.125
-0.0852	-0.8	0.71875	-5.71875	0.125
-0.085	-0.76875	0.875	-5.5625	0.140625
-0.0848	-0.76875	0.71875	-5.71875	0.125
-0.0846	-0.76875	0.71875	-5.5625	0.125
-0.0844	-0.76875	0.71875	-5.5625	0.140625
-0.0842	-0.7375	0.71875	-5.5625	0.140625
-0.084	-0.76875	0.71875	-5.71875	0.140625
-0.0838	-0.7375	0.5625	-5.71875	0.140625
-0.0836	-0.7375	0.71875	-5.5625	0.15625
-0.0834	-0.7375	0.71875	-5.5625	0.140625
-0.0832	-0.7375	0.71875	-5.5625	0.15625
-0.083	-0.70625	0.71875	-5.5625	0.15625
-0.0828	-0.70625	0.71875	-5.71875	0.15625
-0.0826	-0.70625	0.5625	-5.71875	0.171875
-0.0824	-0.7375	0.875	-5.40625	0.15625
-0.0822	-0.70625	0.71875	-5.5625	0.15625
-0.082	-0.7375	0.71875	-5.71875	0.171875
-0.0818	-0.70625	0.71875	-5.5625	0.15625
-0.0816	-0.7375	0.71875	-5.5625	0.15625
-0.0814	-0.675	0.875	-5.71875	0.171875
-0.0812	-0.675	0.5625	-5.5625	0.15625
-0.081	-0.70625	0.71875	-5.71875	0.171875
-0.0808	-0.70625	0.875	-5.5625	0.15625
-0.0806	-0.70625	0.71875	-5.5625	0.15625
-0.0804	-0.70625	0.71875	-5.5625	0.171875
-0.0802	-0.70625	0.71875	-5.40625	0.140625
-0.08	-0.58125	-0.0625	1.625	0.15625
-0.0798	-0.4875	-0.375	6.3125	0.171875
-0.0796	-0.4875	-0.53125	6.3125	0.171875
-0.0794	-0.4875	-0.53125	6.3125	0.15625
-0.0792	-0.4875	-0.375	6.3125	0.171875
-0.079	-0.4875	-0.53125	6.3125	0.171875
-0.0788	-0.4875	-0.53125	6.3125	0.15625
-0.0786	-0.4875	-0.53125	6.46875	0.15625
-0.0784	-0.45625	-0.53125	6.3125	0.15625
-0.0782	-0.4875	-0.53125	6.15625	0.15625
-0.078	-0.4875	-0.53125	6.3125	0.15625
-0.0778	-0.4875	-0.6875	6.15625	0.15625
-0.0776	-0.4875	-0.53125	6.46875	0.140625
-0.0774	-0.51875	-0.53125	6.3125	0.15625
-0.0772	-0.51875	-0.375	6.15625	0.171875
-0.077	-0.4875	-0.375	6.15625	0.15625
-0.0768	-0.4875	-0.375	6.3125	0.140625
-0.0766	-0.51875	-0.53125	6.3125	0.140625
-0.0764	-0.4875	-0.375	6.3125	0.15625
-0.0762	-0.55	-0.53125	6.15625	0.125
-0.076	-0.4875	-0.53125	6.3125	0.140625
-0.0758	-0.4875	-0.375	6.3125	0.15625
-0.0756	-0.51875	-0.375	6.15625	0.140625
-0.0754	-0.51875	-0.53125	6.3125	0.140625
-0.0752	-0.51875	-0.53125	6.3125	0.125
-0.075	-0.4875	-0.53125	6.3125	0.125
-0.0748	-0.51875	-0.53125	6.3125	0.140625
-0.0746	-0.51875	-0.375	6.3125	0.125
-0.0744	-0.4875	-0.375	6.3125	0.140625
-0.0742	-0.51875	-0.375	6.3125	0.109375
-0.074	-0.4875	-0.53125	6.3125	0.125
-0.0738	-0.4875	-0.53125	6.46875	0.125
-0.0736	-0.4875	-0.375	6.3125	0.125
-0.0734	-0.45625	-0.53125	6.15625	0.109375
-0.0732	-0.4875	-0.375	6.15625	0.125
-0.073	-0.4875	-0.53125	6.46875	0.109375
