# Zeit (s)	# Kanal 1 (V)	# Kanal 2 (V)	# Kanal 3 (V)	# Kanal 4 (V)	
-0.005	-0.50125	-0.56875	6.3125	0.146625
-0.00499	-0.50125	-0.56875	6.3125	0.131
-0.00498	-0.50125	-0.5375	6.15625	0.131
-0.00497	-0.50125	-0.56875	6.3125	0.146625
-0.00496	-0.50125	-0.5375	6.3125	0.131
-0.00495	-0.495	-0.56875	6.3125	0.131
-0.00494	-0.50125	-0.5375	6.15625	0.131
-0.00493	-0.495	-0.5375	6.15625	0.131
-0.00492	-0.50125	-0.5375	6.15625	0.146625
-0.00491	-0.50125	-0.56875	6.3125	0.146625
-0.0049	-0.50125	-0.56875	6.3125	0.146625
-0.00489	-0.495	-0.5375	6.3125	0.146625
-0.00488	-0.495	-0.56875	6.15625	0.131
-0.00487	-0.495	-0.56875	6.15625	0.131
-0.00486	-0.50125	-0.56875	6.3125	0.115375
-0.00485	-0.50125	-0.56875	6.3125	0.146625
-0.00484	-0.50125	-0.56875	6.3125	0.146625
-0.00483	-0.50125	-0.5375	6.3125	0.146625
-0.00482	-0.48875	-0.5375	6.15625	0.146625
-0.00481	-0.495	-0.56875	6.3125	0.131
-0.0048	-0.495	-0.50625	6.3125	0.146625
-0.00479	-0.495	-0.5375	6.3125	0.131
-0.00478	-0.495	-0.5375	6.3125	0.131
-0.00477	-0.50125	-0.5375	6.3125	0.146625
-0.00476	-0.495	-0.56875	6.3125	0.131
-0.00475	-0.495	-0.56875	6.3125	0.146625
-0.00474	-0.495	-0.56875	6.3125	0.146625
-0.00473	-0.495	-0.5375	6.3125	0.131
-0.00472	-0.495	-0.50625	6.15625	0.146625
-0.00471	-0.495	-0.56875	6.15625	0.146625
-0.0047	-0.48875	-0.56875	6.3125	0.146625
-0.00469	-0.48875	-0.56875	6.3125	0.131
-0.00468	-0.495	-0.56875	6.3125	0.131
-0.00467	-0.48875	-0.56875	6.3125	0.146625
-0.00466	-0.48875	-0.56875	6.3125	0.131
-0.00465	-0.50125	-0.5375	6.3125	0.131
-0.00464	-0.495	-0.5375	6.3125	0.131
-0.00463	-0.495	-0.5375	6.3125	0.131
-0.00462	-0.495	-0.56875	6.15625	0.146625
-0.00461	-0.495	-0.56875	6.3125	0.146625
-0.0046	-0.48875	-0.56875	6.3125	0.146625
-0.00459	-0.495	-0.5375	6.3125	0.146625
-0.00458	-0.495	-0.5375	6.46875	0.146625
-0.00457	-0.48875	-0.56875	6.46875	0.146625
-0.00456	-0.48875	-0.56875	6.3125	0.146625
-0.00455	-0.495	-0.5375	6.46875	0.16225
-0.00454	-0.495	-0.56875	6.3125	0.131
-0.00453	-0.495	-0.5375	6.15625	0.131
-0.00452	-0.48875	-0.56875	6.3125	0.131
-0.00451	-0.51375	-0.5375	5.6875	0.146625
-0.0045	-0.63875	0.61875	-5.25	0.146625
-0.00449	-0.75125	0.74375	-5.5625	0.131
-0.00448	-0.73875	0.74375	-5.40625	0.146625
-0.00447	-0.7325	0.74375	-5.71875	0.131
-0.00446	-0.7325	0.74375	-5.5625	0.146625
-0.00445	-0.73875	0.68125	-5.71875	0.131
-0.00444	-0.72625	0.74375	-5.5625	0.146625
-0.00443	-0.7325	0.74375	-5.5625	0.131
-0.00442	-0.73875	0.74375	-5.5625	0.131
