# Zeit (s)	# Kanal 1 (V)	# Kanal 2 (V)	# Kanal 3 (V)	# Kanal 4 (V)	
-0.025	-0.77	0.74375	-5.71875	0.131
-0.02495	-0.76375	0.74375	-5.5625	0.131
-0.0249	-0.77	0.7125	-5.5625	0.131
-0.02485	-0.77	0.74375	-5.5625	0.131
-0.0248	-0.77	0.74375	-5.71875	0.146625
-0.02475	-0.77	0.74375	-5.71875	0.131
-0.0247	-0.77	0.7125	-5.5625	0.131
-0.02465	-0.76375	0.74375	-5.5625	0.146625
-0.0246	-0.77625	0.74375	-5.71875	0.146625
-0.02455	-0.77	0.775	-5.5625	0.146625
-0.0245	-0.77	0.74375	-5.71875	0.146625
-0.02445	-0.545	-0.56875	5.375	0.131
-0.0244	-0.52	-0.5375	6.3125	0.131
-0.02435	-0.52625	-0.56875	6.3125	0.131
-0.0243	-0.52625	-0.5375	6.46875	0.146625
-0.02425	-0.52625	-0.5375	6.3125	0.131
-0.0242	-0.52	-0.5375	6.3125	0.131
-0.02415	-0.52	-0.56875	6.3125	0.131
-0.0241	-0.52	-0.50625	6.3125	0.131
-0.02405	-0.52	-0.5375	6.46875	0.131
-0.024	-0.52	-0.56875	6.3125	0.146625
-0.02395	-0.52	-0.5375	6.46875	0.131
-0.0239	-0.52	-0.5375	6.3125	0.146625
-0.02385	-0.52	-0.50625	6.46875	0.146625
-0.0238	-0.75125	0.68125	-5.40625	0.131
-0.02375	-0.76375	0.74375	-5.40625	0.131
-0.0237	-0.76375	0.74375	-5.5625	0.131
-0.02365	-0.76375	0.7125	-5.71875	0.146625
-0.0236	-0.76375	0.7125	-5.71875	0.131
-0.02355	-0.76375	0.74375	-5.5625	0.146625
-0.0235	-0.76375	0.74375	-5.71875	0.146625
-0.02345	-0.77	0.74375	-5.71875	0.146625
-0.0234	-0.76375	0.74375	-5.5625	0.146625
-0.02335	-0.77	0.74375	-5.5625	0.115375
-0.0233	-0.76375	0.74375	-5.5625	0.131
-0.02325	-0.77	0.74375	-5.71875	0.146625
-0.0232	-0.77	0.74375	-5.5625	0.146625
-0.02315	-0.51375	-0.56875	6.15625	0.146625
-0.0231	-0.51375	-0.56875	6.3125	0.131
-0.02305	-0.51375	-0.50625	6.3125	0.131
-0.023	-0.52	-0.5375	6.3125	0.146625
