# Zeit (s)	# Kanal 1 (V)	# D0-D7	
-0.025	5	118
-0.02495	5	118
-0.0249	5	127
-0.02485	5	123
-0.0248	5	123
-0.02475	5	127
-0.0247	5	127
-0.02465	5	127
-0.0246	5	127
-0.02455	5	255
-0.0245	5.0625	133
-0.02445	5	133
-0.0244	5	143
-0.02435	5	139
-0.0243	5	139
-0.02425	5	143
-0.0242	5	143
-0.02415	5	143
-0.0241	5	159
-0.02405	5	149
-0.024	5	149
-0.02395	5	149
-0.0239	5	159
-0.02385	4.9375	154
-0.0238	5	154
-0.02375	5	159
-0.0237	5	159
-0.02365	5	159
-0.0236	5.0625	191
-0.02355	5	163
-0.0235	5	163
-0.02345	5	167
-0.0234	5	167
-0.02335	4.9375	167
-0.0233	5	167
-0.02325	5	175
-0.0232	5	170
-0.02315	5	170
-0.0231	5	175
-0.02305	5	173
-0.023	5	173
-0.02295	5.0625	175
-0.0229	5.0625	175
-0.02285	5	175
-0.0228	5	175
-0.02275	4.9375	191
-0.0227	4.9375	177
-0.02265	5	177
-0.0226	5	179
-0.02255	4.9375	179
-0.0225	5	179
-0.02245	5	183
-0.0224	5.0625	180
-0.02235	5	180
-0.0223	5	180
-0.02225	5.0625	180
-0.0222	5	180
-0.02215	5	180
-0.0221	4.9375	180
-0.02205	4.9375	180
-0.022	4.9375	180
-0.02195	5	180
-0.0219	5.0625	180
-0.02185	5	180
-0.0218	5	182
-0.02175	5	178
-0.0217	4.9375	178
-0.02165	4.9375	179
-0.0216	5	177
-0.02155	5	177
-0.0215	5	177
-0.02145	4.9375	191
-0.0214	4.9375	174
-0.02135	5	174
-0.0213	5	174
-0.02125	4.9375	172
-0.0212	5.0625	172
-0.02115	5	172
-0.0211	5	168
-0.02105	4.9375	168
-0.021	5	168
-0.02095	5	173
-0.0209	5	165
-0.02085	5	165
-0.0208	5	165
-0.02075	5	161
-0.0207	4.9375	161
-0.02065	5.0625	189
-0.0206	5	156
-0.02055	5	156
-0.0205	5	156
-0.02045	5	152
-0.0204	5	152
-0.02035	5	152
-0.0203	5.0625	156
-0.02025	5	148
-0.0202	5	148
-0.02015	5	148
-0.0201	5.0625	144
-0.02005	5	144
-0.02	5	152
-0.01995	5	136
-0.0199	5.0625	136
-0.01985	5	140
-0.0198	5	132
-0.01975	5	132
-0.0197	5.0625	132
-0.01965	5	132
-0.0196	5	128
-0.01955	5	128
-0.0195	4.9375	248
-0.01945	5	120
-0.0194	5.0625	120
-0.01935	5.0625	124
-0.0193	5	116
-0.01925	5.0625	116
-0.0192	5	116
-0.01915	5	116
-0.0191	5.0625	112
-0.01905	5	112
-0.019	5	122
-0.01895	5	106
-0.0189	5	106
-0.01885	5	111
-0.0188	5	101
-0.01875	4.9375	101
-0.0187	5	101
-0.01865	5	96
-0.0186	5	96
-0.01855	5.0625	96
-0.0185	5	124
-0.01845	5	92
-0.0184	5	92
-0.01835	5	93
-0.0183	4.9375	89
-0.01825	5.0625	89
-0.0182	5	95
-0.01815	5	86
-0.0181	5	86
-0.01805	5	87
-0.018	5	83
-0.01795	5	83
-0.0179	5	83
-0.01785	5.0625	83
-0.0178	5	80
-0.01775	5	80
-0.0177	4.9375	94
-0.01765	5	78
-0.0176	4.9375	78
-0.01755	5.0625	78
-0.0175	5	78
-0.01745	5	78
-0.0174	5	78
-0.01735	5	79
-0.0173	5	77
-0.01725	5	77
-0.0172	5	77
-0.01715	5	76
-0.0171	5.0625	76
-0.01705	5	77
-0.017	5	77
-0.01695	4.9375	77
-0.0169	5.0625	79
-0.01685	5	78
-0.0168	5	78
-0.01675	5	78
-0.0167	5	79
-0.01665	5	79
-0.0166	5	79
-0.01655	5	95
-0.0165	5	81
-0.01645	4.9375	81
-0.0164	5	83
-0.01635	5	83
-0.0163	5	83
-0.01625	5	87
-0.0162	5	87
-0.01615	5	87
-0.0161	5	87
-0.01605	5	95
-0.016	5	89
-0.01595	5	89
-0.0159	5	95
-0.01585	5	94
-0.0158	5.0625	94
-0.01575	5	126
-0.0157	5	98
-0.01565	5	98
-0.0156	5	98
-0.01555	5	102
-0.0155	5	102
-0.01545	4.9375	102
-0.0154	5	111
-0.01535	5	107
-0.0153	4.9375	107
-0.01525	5.0625	111
-0.0152	5	111
-0.01515	5	111
-0.0151	5	127
-0.01505	5	117
-0.015	5	117
-0.01495	5	117
-0.0149	5	127
-0.01485	5	123
-0.0148	5	123
-0.01475	5	127
-0.0147	5	127
-0.01465	5	127
-0.0146	5	255
-0.01455	5	133
-0.0145	5	133
-0.01445	5	143
-0.0144	5	139
-0.01435	5	139
-0.0143	5	139
-0.01425	5	143
-0.0142	5	143
-0.01415	5.0625	143
-0.0141	4.9375	159
