# Zeit (s)	# Kanal 1 (V)	# Kanal 2 (V)	# D0-D7	
-0.005	5.0125	2.43075	222
-0.00499	4.95	2.43075	222
-0.00498	4.95	2.49325	222
-0.00497	5.0125	2.49325	222
-0.00496	4.95	2.5245	222
-0.00495	5.0125	2.5245	222
-0.00494	4.8875	2.5245	222
-0.00493	5.0125	2.5245	222
-0.00492	4.95	2.55575	222
-0.00491	5.0125	2.55575	222
-0.0049	5.0125	2.587	222
-0.00489	5.0125	2.587	222
-0.00488	4.95	2.61825	222
-0.00487	5.0125	2.587	254
-0.00486	5.0125	2.61825	254
-0.00485	5.0125	2.6495	254
-0.00484	4.95	2.6495	254
-0.00483	4.95	2.6495	254
-0.00482	4.95	2.6495	254
-0.00481	5.0125	2.6495	254
-0.0048	4.95	2.712	254
-0.00479	5.0125	2.712	254
-0.00478	4.95	2.712	254
-0.00477	4.95	2.74325	254
-0.00476	4.95	2.74325	254
-0.00475	4.95	2.7745	254
-0.00474	4.95	2.7745	254
-0.00473	5.0125	2.80575	254
-0.00472	5.0125	2.837	254
-0.00471	5.0125	2.80575	254
-0.0047	5.0125	2.837	255
-0.00469	4.95	2.837	241
-0.00468	4.95	2.86825	241
-0.00467	5.0125	2.86825	241
-0.00466	5.0125	2.8995	241
-0.00465	5.0125	2.86825	241
-0.00464	5.075	2.8995	241
-0.00463	5.0125	2.8995	241
-0.00462	4.95	2.93075	241
-0.00461	5.0125	2.93075	241
-0.0046	4.95	2.93075	241
-0.00459	5.0125	2.962	241
-0.00458	4.95	2.99325	241
-0.00457	4.95	2.962	241
-0.00456	4.95	2.962	241
-0.00455	4.95	2.99325	241
-0.00454	4.95	3.0245	249
-0.00453	5.0125	3.05575	217
-0.00452	5.0125	3.0245	217
-0.00451	4.95	3.05575	217
-0.0045	4.95	3.05575	217
-0.00449	4.95	3.05575	217
-0.00448	5.0125	3.087	217
-0.00447	5.0125	3.087	217
-0.00446	4.95	3.11825	217
-0.00445	5.0125	3.11825	217
-0.00444	4.95	3.1495	217
-0.00443	5.0125	3.1495	217
-0.00442	4.95	3.18075	217
-0.00441	5.0125	3.18075	217
-0.0044	5.0125	3.18075	217
-0.00439	5.0125	3.1495	217
-0.00438	5.0125	3.1495	253
-0.00437	4.95	3.212	165
-0.00436	5.0125	3.24325	165
-0.00435	4.95	3.212	165
-0.00434	5.0125	3.212	165
-0.00433	5.0125	3.24325	165
-0.00432	5.0125	3.24325	165
-0.00431	5.0125	3.2745	165
-0.0043	4.95	3.2745	165
-0.00429	4.95	3.2745	165
-0.00428	5.0125	3.337	165
-0.00427	5.0125	3.30575	165
-0.00426	5.0125	3.2745	165
-0.00425	4.95	3.337	165
-0.00424	4.95	3.36825	165
-0.00423	4.95	3.337	165
-0.00422	4.95	3.36825	165
-0.00421	4.95	3.36825	245
-0.0042	4.95	3.3995	245
-0.00419	5.0125	3.3995	245
-0.00418	4.95	3.3995	245
-0.00417	4.95	3.43075	245
-0.00416	4.95	3.43075	245
-0.00415	4.95	3.462	245
-0.00414	5.0125	3.462	245
-0.00413	4.95	3.462	245
-0.00412	4.95	3.462	245
-0.00411	5.0125	3.462	245
-0.0041	5.0125	3.5245	245
-0.00409	4.95	3.49325	245
-0.00408	5.0125	3.5245	245
-0.00407	4.95	3.5245	245
-0.00406	4.95	3.5245	245
-0.00405	5.0125	3.5245	253
-0.00404	5.0125	3.55575	237
-0.00403	4.95	3.55575	237
-0.00402	5.0125	3.55575	237
-0.00401	4.95	3.587	237
-0.004	5.0125	3.587	237
-0.00399	4.95	3.61825	237
-0.00398	5.0125	3.587	237
-0.00397	5.0125	3.61825	237
-0.00396	5.0125	3.61825	237
-0.00395	4.95	3.61825	237
-0.00394	5.0125	3.61825	237
-0.00393	4.95	3.6495	237
-0.00392	5.0125	3.6495	237
-0.00391	4.95	3.712	237
-0.0039	5.0125	3.712	237
-0.00389	5.0125	3.68075	237
-0.00388	5.0125	3.68075	253
-0.00387	5.0125	3.712	253
-0.00386	4.95	3.712	253
-0.00385	4.95	3.74325	253
-0.00384	5.0125	3.74325	253
-0.00383	4.95	3.712	253
-0.00382	4.95	3.712	253
-0.00381	4.95	3.74325	253
-0.0038	5.0125	3.7745	253
-0.00379	4.95	3.7745	253
-0.00378	4.95	3.80575	253
-0.00377	4.95	3.80575	253
-0.00376	5.0125	3.837	253
-0.00375	5.0125	3.837	253
-0.00374	4.95	3.837	253
-0.00373	4.95	3.80575	253
-0.00372	5.0125	3.837	255
-0.00371	4.8875	3.86825	227
-0.0037	4.95	3.837	227
-0.00369	4.95	3.837	227
-0.00368	4.95	3.837	227
-0.00367	4.95	3.86825	227
-0.00366	4.95	3.8995	227
-0.00365	5.0125	3.86825	227
-0.00364	5.0125	3.8995	227
-0.00363	5.0125	3.93075	227
-0.00362	4.95	3.8995	227
-0.00361	4.95	3.8995	227
-0.0036	4.95	3.93075	227
-0.00359	4.95	3.93075	227
-0.00358	5.0125	3.8995	227
-0.00357	4.95	3.93075	227
-0.00356	4.95	3.93075	243
-0.00355	5.0125	3.93075	179
-0.00354	5.0125	3.962	179
-0.00353	5.0125	3.962	179
-0.00352	4.8875	3.962	179
-0.00351	5.0125	3.962	179
-0.0035	4.95	3.99325	179
-0.00349	5.0125	3.99325	179
-0.00348	4.95	3.99325	179
-0.00347	4.95	3.99325	179
-0.00346	4.95	4.0245	179
