# Zeit (s)	# Kanal 1 (V)	# Kanal 2 (V)	# D0-D7	
-1	5.0125	0.9875	0
-0.998	4.95	0.9875	0
-0.996	4.95	0.9875	0
-0.994	5.0125	0.9875	0
-0.992	4.95	0.9875	0
-0.99	4.95	0.9875	0
-0.988	5.0125	0.925	0
-0.986	4.95	0.9875	0
-0.984	5.0125	0.9875	0
-0.982	5.0125	0.925	0
-0.98	5.0125	0.9875	0
-0.978	4.95	0.9875	0
-0.976	4.95	0.9875	0
-0.974	4.95	0.925	0
-0.972	4.95	0.9875	0
-0.97	4.95	0.9875	0
-0.968	5.0125	1.05	0
-0.966	5.075	0.9875	0
-0.964	5.0125	0.925	0
-0.962	4.95	0.9875	0
-0.96	5.0125	0.9875	0
-0.958	5.0125	0.9875	0
-0.956	5.0125	0.9875	0
-0.954	5.0125	0.925	0
-0.952	4.95	0.925	0
-0.95	5.0125	0.9875	0
-0.948	4.95	0.9875	0
-0.946	4.95	0.9875	0
-0.944	4.95	0.9875	0
-0.942	4.95	0.925	0
-0.94	4.95	0.9875	0
-0.938	5.0125	1.05	0
-0.936	4.95	0.925	0
-0.934	5.0125	0.925	0
-0.932	4.95	0.9875	0
-0.93	5.0125	0.9875	0
-0.928	4.95	0.925	0
-0.926	4.95	0.9875	0
-0.924	4.95	0.8625	0
-0.922	4.95	0.9875	0
-0.92	5.0125	0.925	0
-0.918	4.95	0.9875	0
-0.916	4.95	1.05	0
-0.914	5.0125	0.9875	0
-0.912	4.95	0.9875	0
-0.91	4.95	0.925	0
-0.908	5.0125	0.9875	0
-0.906	5.0125	0.9875	0
-0.904	4.95	0.9875	0
-0.902	4.95	0.925	0
-0.9	5.0125	0.9875	0
-0.898	4.95	1.05	0
-0.896	4.95	0.9875	0
-0.894	4.95	0.9875	0
-0.892	5.0125	0.9875	0
-0.89	4.95	0.9875	0
-0.888	4.95	0.925	0
-0.886	4.95	0.9875	0
-0.884	5.0125	0.925	0
-0.882	4.95	0.9875	0
-0.88	5.0125	0.9875	0
-0.878	5.0125	0.9875	0
-0.876	4.95	0.925	0
-0.874	5.0125	0.9875	0
-0.872	4.95	0.9875	0
-0.87	4.95	0.9875	0
-0.868	5.0125	1.05	0
-0.866	4.95	0.9875	0
-0.864	4.95	0.9875	0
-0.862	4.95	0.925	0
-0.86	5.0125	0.9875	0
-0.858	4.95	0.925	0
-0.856	5.075	0.9875	0
-0.854	4.95	0.9875	0
-0.852	5.0125	0.925	0
-0.85	5.0125	0.925	0
-0.848	4.95	0.9875	0
-0.846	4.95	0.9875	0
-0.844	5.0125	0.925	0
-0.842	5.0125	0.925	0
-0.84	4.95	0.925	0
-0.838	5.0125	0.925	0
-0.836	5.0125	0.925	0
-0.834	5.0125	1.05	0
-0.832	5.0125	0.9875	0
-0.83	4.95	0.925	0
-0.828	5.0125	0.9875	0
-0.826	5.0125	0.9875	0
-0.824	4.95	0.925	0
-0.822	4.95	0.925	0
-0.82	5.0125	0.9875	0
-0.818	5.0125	0.9875	0
-0.816	4.95	0.925	0
-0.814	4.95	0.925	0
-0.812	4.95	0.9875	0
-0.81	5.0125	0.9875	0
-0.808	4.95	0.9875	0
-0.806	5.0125	1.05	0
-0.804	5.0125	0.925	0
-0.802	5.0125	0.9875	0
-0.8	5.0125	0.925	0
-0.798	5.075	0.9875	0
-0.796	4.95	0.9875	0
-0.794	5.0125	0.9875	0
-0.792	4.95	1.05	0
-0.79	4.95	0.9875	0
-0.788	4.95	0.9875	0
-0.786	5.0125	0.9875	0
-0.784	5.0125	0.9875	0
-0.782	5.0125	0.9875	0
-0.78	5.0125	0.9875	0
-0.778	4.95	0.9875	0
-0.776	4.95	0.925	0
-0.774	5.0125	0.9875	0
-0.772	5.0125	0.925	0
-0.77	4.95	0.9875	0
-0.768	4.95	0.9875	0
-0.766	5.0125	0.9875	0
-0.764	5.0125	0.9875	0
-0.762	4.95	0.9875	0
-0.76	5.0125	0.9875	0
-0.758	4.95	0.9875	0
-0.756	4.95	0.9875	0
-0.754	5.0125	0.9875	0
-0.752	5.0125	0.9875	0
-0.75	5.0125	0.9875	0
-0.748	4.95	0.925	0
-0.746	4.95	0.9875	0
-0.744	4.95	1.05	0
-0.742	5.0125	0.9875	0
-0.74	5.0125	0.925	0
-0.738	5.0125	1.05	0
-0.736	5.0125	0.9875	0
-0.734	4.95	0.925	0
-0.732	5.0125	0.9875	0
-0.73	4.95	0.9875	0
-0.728	4.95	0.9875	0
-0.726	5.0125	0.9875	0
-0.724	5.0125	0.9875	0
-0.722	5.0125	0.925	0
-0.72	5.0125	0.9875	0
-0.718	4.95	0.925	0
-0.716	4.95	0.925	0
-0.714	4.95	0.9875	0
-0.712	4.95	0.9875	0
-0.71	5.0125	0.925	0
-0.708	4.95	0.9875	0
-0.706	5.0125	0.9875	0
-0.704	5.0125	0.9875	0
-0.702	4.95	0.925	0
-0.7	4.95	0.925	0
-0.698	4.95	0.925	0
-0.696	5.0125	0.9875	0
-0.694	4.95	0.9875	0
-0.692	5.0125	0.9875	0
-0.69	5.0125	0.9875	0
-0.688	5.0125	0.9875	0
-0.686	5.0125	1.05	0
-0.684	4.95	0.9875	0
-0.682	5.0125	1.05	0
-0.68	5.0125	0.9875	0
-0.678	5.0125	1.05	0
-0.676	4.95	0.9875	0
-0.674	4.95	0.9875	0
-0.672	4.95	0.9875	0
-0.67	5.0125	0.925	0
-0.668	5.0125	0.9875	0
-0.666	5.0125	0.9875	0
-0.664	4.95	1.05	0
-0.662	5.0125	1.05	0
-0.66	5.0125	0.9875	0
-0.658	4.95	0.9875	0
-0.656	4.95	1.05	0
-0.654	5.0125	0.9875	0
-0.652	4.95	0.9875	0
-0.65	4.95	0.9875	0
-0.648	5.0125	0.9875	0
-0.646	4.95	0.925	0
-0.644	5.0125	0.9875	0
-0.642	5.0125	0.9875	0
-0.64	4.95	0.9875	0
-0.638	5.0125	0.9875	0
-0.636	5.0125	0.9875	0
-0.634	5.0125	0.9875	0
-0.632	4.8875	0.925	0
-0.63	5.0125	0.9875	0
-0.628	4.95	0.925	0
-0.626	4.95	0.9875	0
-0.624	5.0125	0.925	0
-0.622	4.95	0.9875	0
-0.62	5.0125	0.9875	0
-0.618	4.95	0.925	0
-0.616	4.95	0.9875	0
-0.614	4.95	0.925	0
-0.612	4.95	0.925	0
-0.61	5.0125	0.9875	0
-0.608	5.0125	0.9875	0
-0.606	5.0125	0.9875	0
-0.604	4.95	0.9875	0
-0.602	4.95	0.925	0
-0.6	4.95	0.925	0
-0.598	4.95	0.9875	0
-0.596	4.95	0.925	0
-0.594	5.0125	0.9875	0
-0.592	5.0125	0.925	0
-0.59	4.95	0.9875	0
-0.588	5.0125	0.925	0
-0.586	5.0125	0.925	0
-0.584	4.95	0.9875	0
-0.582	5.0125	0.9875	0
-0.58	4.95	0.925	0
-0.578	4.95	0.9875	0
-0.576	5.0125	0.9875	0
-0.574	5.0125	0.9875	0
-0.572	4.95	0.9875	0
-0.57	4.95	0.9875	0
-0.568	4.95	0.925	0
-0.566	4.95	0.9875	0
-0.564	5.0125	0.9875	0
-0.562	5.0125	0.9875	0
-0.56	4.95	0.9875	0
-0.558	5.0125	0.9875	0
-0.556	5.0125	0.9875	0
-0.554	5.0125	0.9875	0
-0.552	4.95	0.9875	0
-0.55	5.0125	0.9875	0
-0.548	4.95	0.9875	0
