# Zeit (s)	# Kanal 1 (V)	# Kanal 2 (V)	# D0-D7	
-1	4.95	3.1125	0
-0.998	5.0125	3.1125	0
-0.996	5.0125	3.05	0
-0.994	5.0125	3.1125	0
-0.992	5.0125	3.1125	0
-0.99	5.0125	3.1125	0
-0.988	4.95	3.05	0
-0.986	4.95	3.1125	0
-0.984	5.0125	3.1125	0
-0.982	5.0125	3.1125	0
-0.98	4.95	3.1125	0
-0.978	5.0125	3.1125	0
-0.976	5.0125	3.175	0
-0.974	5.0125	3.1125	0
-0.972	5.0125	3.1125	0
-0.97	4.95	3.175	0
-0.968	4.95	3.1125	0
-0.966	4.95	3.1125	0
-0.964	5.0125	3.1125	0
-0.962	4.95	3.1125	0
-0.96	5.0125	3.1125	0
-0.958	5.0125	3.1125	0
-0.956	5.075	3.1125	0
-0.954	5.0125	3.1125	0
-0.952	4.95	3.1125	0
-0.95	4.95	3.1125	0
-0.948	5.0125	3.1125	0
-0.946	4.95	3.175	0
-0.944	4.95	3.05	0
-0.942	4.95	3.05	0
-0.94	5.0125	3.175	0
-0.938	4.95	3.1125	0
-0.936	5.0125	3.1125	0
-0.934	4.95	3.1125	0
-0.932	5.0125	3.1125	0
-0.93	5.0125	3.05	0
-0.928	4.95	3.1125	0
-0.926	5.0125	3.1125	0
-0.924	4.95	3.1125	0
-0.922	4.95	3.1125	0
-0.92	4.95	3.1125	0
-0.918	4.95	3.05	0
-0.916	4.95	3.1125	0
-0.914	4.95	3.1125	0
-0.912	5.0125	3.1125	0
-0.91	5.0125	3.1125	0
-0.908	5.0125	3.1125	0
-0.906	4.95	3.1125	0
-0.904	5.0125	3.05	0
-0.902	4.95	3.175	0
-0.9	5.0125	3.1125	0
-0.898	4.95	3.1125	0
-0.896	4.95	3.1125	0
-0.894	4.95	3.1125	0
-0.892	4.95	3.1125	0
-0.89	5.0125	3.1125	0
-0.888	4.95	3.175	0
-0.886	5.0125	3.1125	0
-0.884	5.0125	3.1125	0
-0.882	4.95	3.175	0
-0.88	5.0125	3.1125	0
-0.878	5.0125	3.1125	0
-0.876	5.0125	3.1125	0
-0.874	5.0125	3.1125	0
-0.872	4.95	3.1125	0
-0.87	5.0125	3.1125	0
-0.868	5.0125	3.1125	0
-0.866	5.0125	3.1125	0
