# Zeit (s)	# Kanal 1 (V)	# Kanal 2 (V)	# D0-D7	
-0.0025	4.95	4.2745	251
-0.002495	5.0125	4.24325	251
-0.00249	5.0125	4.212	251
-0.002485	4.95	4.2745	251
-0.00248	5.0125	4.212	251
-0.002475	4.95	4.24325	251
-0.00247	4.95	4.24325	251
-0.002465	4.95	4.2745	251
-0.00246	4.95	4.24325	251
-0.002455	5.0125	4.24325	251
-0.00245	5.0125	4.212	251
-0.002445	4.95	4.212	251
-0.00244	4.95	4.18075	251
-0.002435	5.0125	4.212	251
-0.00243	5.0125	4.18075	251
-0.002425	4.8875	4.18075	251
-0.00242	4.95	4.18075	251
-0.002415	5.0125	4.18075	251
-0.00241	4.95	4.18075	251
-0.002405	5.0125	4.11825	251
-0.0024	4.95	4.11825	251
-0.002395	4.95	4.11825	251
-0.00239	5.0125	4.11825	251
-0.002385	5.0125	4.087	251
-0.00238	5.0125	4.087	251
-0.002375	5.0125	4.05575	251
-0.00237	4.95	4.05575	251
-0.002365	4.95	4.0245	251
-0.00236	5.0125	4.0245	251
-0.002355	4.95	4.0245	251
-0.00235	4.95	3.99325	251
-0.002345	4.95	3.962	251
-0.00234	5.0125	3.99325	27
-0.002335	4.95	3.962	27
-0.00233	5.0125	3.8995	27
-0.002325	5.0125	3.93075	27
-0.00232	4.95	3.86825	27
-0.002315	5.0125	3.86825	27
-0.00231	4.95	3.86825	27
-0.002305	4.95	3.837	27
-0.0023	5.075	3.80575	27
-0.002295	4.95	3.74325	27
-0.00229	4.95	3.7745	27
-0.002285	4.95	3.74325	27
-0.00228	4.95	3.712	27
-0.002275	5.0125	3.712	27
-0.00227	5.0125	3.712	27
-0.002265	4.95	3.6495	27
-0.00226	5.0125	3.6495	27
-0.002255	4.95	3.6495	27
-0.00225	5.0125	3.61825	27
-0.002245	5.0125	3.55575	27
-0.00224	5.0125	3.55575	27
-0.002235	4.95	3.49325	27
-0.00223	4.95	3.49325	27
-0.002225	4.95	3.462	27
-0.00222	4.95	3.49325	27
-0.002215	4.95	3.3995	27
-0.00221	4.95	3.3995	27
-0.002205	4.95	3.337	27
-0.0022	4.95	3.337	27
-0.002195	5.0125	3.2745	27
-0.00219	5.0125	3.30575	27
-0.002185	5.0125	3.212	27
-0.00218	5.0125	3.212	27
-0.002175	4.95	3.18075	3
-0.00217	4.95	3.18075	3
-0.002165	4.95	3.1495	3
-0.00216	5.0125	3.11825	3
-0.002155	4.95	3.087	3
-0.00215	4.95	3.087	3
-0.002145	4.95	3.05575	3
-0.00214	4.95	2.99325	3
-0.002135	4.95	2.93075	3
-0.00213	5.0125	2.962	3
-0.002125	4.95	2.8995	3
-0.00212	5.0125	2.93075	3
-0.002115	4.95	2.837	3
-0.00211	4.8875	2.837	3
-0.002105	4.95	2.7745	3
-0.0021	4.95	2.7745	3
-0.002095	4.95	2.74325	3
-0.00209	5.0125	2.68075	3
-0.002085	4.95	2.6495	3
-0.00208	5.0125	2.61825	3
-0.002075	4.95	2.61825	3
-0.00207	4.95	2.587	3
-0.002065	5.0125	2.55575	3
-0.00206	4.95	2.5245	3
-0.002055	4.95	2.49325	3
-0.00205	4.95	2.43075	3
-0.002045	4.95	2.43075	3
-0.00204	4.95	2.3995	3
-0.002035	5.0125	2.337	3
-0.00203	4.95	2.337	3
-0.002025	5.0125	2.2745	3
-0.00202	4.95	2.2745	11
-0.002015	5.0125	2.24325	9
-0.00201	4.95	2.24325	9
-0.002005	5.0125	2.18075	9
-0.002	5.0125	2.11825	9
-0.001995	5.0125	2.11825	9
-0.00199	4.95	2.087	9
-0.001985	4.95	2.05575	9
-0.00198	4.95	2.0245	9
-0.001975	4.95	2.0245	9
-0.00197	4.95	1.962	9
-0.001965	4.95	1.8995	9
-0.00196	5.0125	1.93075	9
-0.001955	4.95	1.86825	9
-0.00195	4.95	1.837	9
-0.001945	5.0125	1.7745	9
-0.00194	5.0125	1.7745	9
-0.001935	4.95	1.74325	9
-0.00193	5.0125	1.712	9
-0.001925	4.95	1.68075	9
-0.00192	4.95	1.61825	9
-0.001915	5.0125	1.61825	9
-0.00191	4.95	1.587	9
-0.001905	4.95	1.55575	9
-0.0019	5.0125	1.49325	9
-0.001895	4.95	1.49325	9
-0.00189	4.95	1.43075	9
-0.001885	4.95	1.462	9
-0.00188	5.0125	1.3995	9
-0.001875	4.95	1.36825	9
-0.00187	5.0125	1.36825	9
-0.001865	4.95	1.337	9
-0.00186	4.95	1.2745	9
-0.001855	5.0125	1.24325	15
-0.00185	4.95	1.24325	6
-0.001845	4.95	1.24325	6
-0.00184	5.0125	1.18075	6
-0.001835	4.95	1.1495	6
-0.00183	4.95	1.1495	6
-0.001825	4.95	1.087	6
-0.00182	4.95	1.087	6
-0.001815	4.95	1.05575	6
-0.00181	4.95	1.0245	6
-0.001805	4.95	1.0245	6
-0.0018	4.95	0.99325	6
-0.001795	5.0125	0.962	6
-0.00179	4.95	0.93075	6
-0.001785	4.95	0.8995	6
-0.00178	4.95	0.8995	6
-0.001775	5.0125	0.86825	6
-0.00177	4.95	0.86825	6
-0.001765	4.95	0.80575	6
-0.00176	4.95	0.80575	6
-0.001755	4.95	0.80575	6
-0.00175	4.95	0.7745	6
-0.001745	5.0125	0.74325	6
-0.00174	4.95	0.74325	6
-0.001735	4.95	0.68075	6
-0.00173	5.0125	0.6495	6
-0.001725	4.95	0.6495	6
-0.00172	4.95	0.6495	6
-0.001715	5.0125	0.61825	6
-0.00171	5.0125	0.6495	6
-0.001705	4.95	0.61825	6
-0.0017	4.95	0.55575	6
-0.001695	4.95	0.55575	6
-0.00169	5.0125	0.587	22
-0.001685	0.0124999	0.49325	20
-0.00168	4.95	0.55575	20
-0.001675	5.0125	0.5245	20
-0.00167	4.95	0.49325	20
-0.001665	4.95	0.5245	20
-0.00166	4.95	0.462	20
-0.001655	5.0125	0.43075	20
-0.00165	5.0125	0.43075	20
-0.001645	5.0125	0.43075	20
-0.00164	5.0125	0.3995	20
-0.001635	4.95	0.43075	20
-0.00163	5.0125	0.3995	20
-0.001625	4.95	0.3995	20
-0.00162	4.95	0.36825	20
-0.001615	5.0125	0.36825	20
-0.00161	5.0125	0.337	20
-0.001605	4.95	0.36825	20
-0.0016	4.95	0.337	20
-0.001595	5.0125	0.36825	20
-0.00159	4.95	0.337	20
-0.001585	4.95	0.337	20
-0.00158	4.95	0.30575	20
-0.001575	5.0125	0.2745	20
-0.00157	5.0125	0.30575	20
-0.001565	4.95	0.30575	20
-0.00156	4.95	0.2745	20
-0.001555	5.0125	0.30575	20
-0.00155	4.95	0.30575	20
-0.001545	5.0125	0.2745	20
-0.00154	4.95	0.2745	20
-0.001535	5.0125	0.2745	20
-0.00153	4.95	0.2745	20
-0.001525	5.0125	0.2745	156
-0.00152	5.0125	0.30575	136
-0.001515	5.0125	0.2745	136
-0.00151	5.0125	0.2745	136
-0.001505	5.0125	0.30575	136
-0.0015	4.95	0.30575	136
-0.001495	5.0125	0.2745	136
-0.00149	5.0125	0.30575	136
-0.001485	4.95	0.337	136
-0.00148	5.075	0.30575	136
-0.001475	4.95	0.30575	136
-0.00147	5.0125	0.30575	136
-0.001465	4.95	0.337	136
-0.00146	4.95	0.36825	136
-0.001455	4.95	0.337	136
-0.00145	5.0125	0.337	136
-0.001445	5.0125	0.337	136
-0.00144	4.95	0.36825	136
-0.001435	4.95	0.36825	136
-0.00143	5.0125	0.36825	136
-0.001425	5.0125	0.3995	136
-0.00142	5.0125	0.3995	136
-0.001415	5.0125	0.43075	136
-0.00141	4.95	0.43075	136
-0.001405	5.0125	0.3995	136
-0.0014	4.95	0.462	136
-0.001395	5.0125	0.462	136
-0.00139	4.95	0.43075	136
-0.001385	5.0125	0.462	136
-0.00138	4.95	0.49325	136
-0.001375	4.95	0.5245	136
-0.00137	4.95	0.5245	136
-0.001365	4.95	0.5245	136
-0.00136	5.0125	0.55575	232
-0.001355	4.95	0.55575	232
-0.00135	5.0125	0.587	232
-0.001345	4.95	0.55575	232
-0.00134	4.95	0.61825	232
-0.001335	4.95	0.6495	232
-0.00133	4.95	0.6495	232
-0.001325	5.0125	0.68075	232
-0.00132	5.0125	0.74325	232
-0.001315	4.95	0.712	232
-0.00131	4.95	0.74325	232
-0.001305	4.95	0.712	232
-0.0013	4.8875	0.74325	232
-0.001295	4.95	0.7745	232
-0.00129	4.95	0.80575	232
-0.001285	4.95	0.86825	232
-0.00128	4.95	0.837	232
-0.001275	4.95	0.86825	232
-0.00127	4.95	0.8995	232
-0.001265	4.95	0.93075	232
-0.00126	5.0125	0.962	232
-0.001255	4.95	0.93075	232
-0.00125	5.0125	0.962	232
-0.001245	4.95	1.05575	232
-0.00124	4.95	1.05575	232
-0.001235	4.95	1.087	232
-0.00123	4.95	1.087	232
-0.001225	4.95	1.087	232
-0.00122	5.0125	1.1495	232
-0.001215	5.0125	1.18075	232
-0.00121	5.0125	1.212	232
-0.001205	4.95	1.212	232
-0.0012	5.0125	1.24325	252
-0.001195	5.0125	1.30575	244
-0.00119	5.0125	1.30575	244
-0.001185	4.95	1.337	244
-0.00118	4.95	1.36825	244
-0.001175	5.0125	1.36825	244
-0.00117	5.0125	1.3995	244
-0.001165	5.0125	1.43075	244
-0.00116	5.0125	1.49325	244
-0.001155	4.95	1.49325	244
-0.00115	5.0125	1.55575	244
-0.001145	5.075	1.55575	244
-0.00114	4.95	1.587	244
-0.001135	5.0125	1.61825	244
-0.00113	5.0125	1.6495	244
-0.001125	4.95	1.68075	244
-0.00112	5.0125	1.712	244
-0.001115	5.0125	1.74325	244
-0.00111	5.0125	1.7745	244
-0.001105	4.95	1.80575	244
-0.0011	4.95	1.837	244
-0.001095	5.0125	1.86825	244
-0.00109	5.0125	1.8995	244
-0.001085	4.95	1.93075	244
-0.00108	5.0125	1.93075	244
-0.001075	4.95	1.99325	244
-0.00107	4.95	2.05575	244
-0.001065	4.95	2.05575	244
-0.00106	4.95	2.087	244
-0.001055	5.0125	2.11825	244
-0.00105	4.95	2.1495	244
-0.001045	4.95	2.1495	244
-0.00104	4.95	2.212	244
-0.001035	4.95	2.24325	254
-0.00103	4.95	2.2745	250
-0.001025	4.95	2.337	250
-0.00102	4.95	2.337	250
-0.001015	5.0125	2.337	250
-0.00101	5.0125	2.3995	250
-0.001005	4.95	2.43075	250
-0.001	4.95	2.462	250
-0.000995	4.95	2.49325	250
-0.00099	5.0125	2.5245	250
-0.000985	4.95	2.55575	250
-0.00098	4.95	2.587	250
-0.000975	5.0125	2.61825	250
-0.00097	5.0125	2.61825	250
-0.000965	5.0125	2.68075	250
-0.00096	5.0125	2.68075	250
-0.000955	4.95	2.7745	250
-0.00095	5.0125	2.7745	250
-0.000945	5.0125	2.80575	250
-0.00094	4.95	2.837	250
-0.000935	4.95	2.86825	250
-0.00093	5.0125	2.8995	250
-0.000925	4.95	2.93075	250
-0.00092	5.0125	2.962	250
-0.000915	5.0125	2.962	250
-0.00091	5.0125	3.0245	250
-0.000905	4.95	3.05575	250
-0.0009	4.95	3.087	250
-0.000895	4.95	3.05575	250
-0.00089	5.0125	3.1495	250
-0.000885	4.95	3.11825	250
-0.00088	4.95	3.1495	250
-0.000875	4.95	3.212	250
-0.00087	4.95	3.212	254
-0.000865	4.825	3.2745	254
-0.00086	5.0125	3.30575	254
-0.000855	4.95	3.337	254
-0.00085	4.95	3.30575	254
-0.000845	5.0125	3.36825	254
-0.00084	4.95	3.43075	254
-0.000835	5.0125	3.3995	254
-0.00083	5.0125	3.43075	254
-0.000825	4.95	3.462	254
-0.00082	4.95	3.49325	254
-0.000815	4.95	3.49325	254
-0.00081	5.0125	3.55575	254
-0.000805	4.95	3.587	254
-0.0008	4.95	3.61825	254
