# Zeit (s)	# Kanal 1 (V)	# Kanal 2 (V)	# D0-D7	
-0.00025	5.0125	4.24325	62
-0.0002495	4.95	4.2745	62
-0.000249	5.0125	4.24325	62
-0.0002485	4.95	4.24325	62
-0.000248	5.0125	4.2745	62
-0.0002475	4.95	4.24325	62
-0.000247	5.0125	4.24325	62
-0.0002465	4.95	4.24325	62
-0.000246	5.0125	4.24325	62
-0.0002455	4.95	4.212	62
-0.000245	5.0125	4.24325	62
-0.0002445	4.95	4.18075	62
-0.000244	4.95	4.212	62
-0.0002435	4.95	4.18075	62
-0.000243	4.95	4.18075	62
-0.0002425	4.95	4.1495	62
-0.000242	5.0125	4.18075	62
-0.0002415	4.95	4.1495	62
-0.000241	5.0125	4.11825	62
-0.0002405	4.95	4.11825	62
-0.00024	5.0125	4.11825	62
-0.0002395	4.8875	4.087	62
-0.000239	4.95	4.087	62
-0.0002385	4.95	4.087	62
-0.000238	5.0125	4.087	62
-0.0002375	4.95	4.05575	62
-0.000237	4.95	4.0245	62
-0.0002365	4.95	4.05575	62
-0.000236	5.0125	3.99325	62
-0.0002355	4.95	3.99325	62
-0.000235	4.95	3.962	62
-0.0002345	4.95	3.962	62
-0.000234	5.0125	3.962	62
-0.0002335	4.95	3.93075	62
-0.000233	5.0125	3.8995	62
-0.0002325	4.95	3.8995	62
-0.000232	4.95	3.86825	62
-0.0002315	4.95	3.86825	62
-0.000231	4.95	3.837	62
-0.0002305	4.95	3.80575	62
-0.00023	5.0125	3.7745	62
-0.0002295	4.95	3.80575	62
-0.000229	5.0125	3.7745	62
-0.0002285	4.95	3.712	62
-0.000228	4.95	3.712	62
-0.0002275	4.95	3.68075	62
-0.000227	5.0125	3.6495	62
-0.0002265	4.95	3.6495	62
-0.000226	4.95	3.6495	62
-0.0002255	4.95	3.6495	62
-0.000225	5.0125	3.587	62
-0.0002245	5.0125	3.55575	62
-0.000224	5.0125	3.5245	62
-0.0002235	4.95	3.49325	62
-0.000223	4.95	3.462	62
-0.0002225	4.95	3.462	62
-0.000222	5.0125	3.43075	62
-0.0002215	4.95	3.43075	62
-0.000221	5.0125	3.337	62
-0.0002205	5.0125	3.337	62
-0.00022	5.0125	3.30575	62
-0.0002195	4.95	3.2745	62
-0.000219	5.0125	3.2745	62
-0.0002185	4.95	3.24325	62
-0.000218	5.0125	3.24325	62
-0.0002175	4.95	3.212	62
